sample,genes_over10
ERR4553381_counts.txt,5400
ERR4553382_counts.txt,5384
ERR4553383_counts.txt,5396
ERR4553384_counts.txt,5389
ERR4553385_counts.txt,5400
ERR4553386_counts.txt,5389
ERR4553387_counts.txt,5395
ERR4553388_counts.txt,5390
ERR4553389_counts.txt,5370
ERR4553390_counts.txt,5365
ERR4553391_counts.txt,5359
ERR4553392_counts.txt,5339
ERR4553393_counts.txt,5334
ERR4553394_counts.txt,5338
ERR4553395_counts.txt,5389
ERR4553396_counts.txt,5390
ERR4553397_counts.txt,5384
ERR4553398_counts.txt,5386
ERR4553399_counts.txt,5406
ERR4553400_counts.txt,5372
